"english","darija","includes_arabizi"
"He [Wales] basically lied to us from the start. First, by acting as if this was for legal reasons. Second, by pretending he was listening to us, right up to his art deletion.
","كذب ويلز علينا بشكل أساسي من الأول. أولاً منين تصرف بحال يلا كان هاذشي لأسباب قانونية. ومن بعد حيث تظاهر بأنه كان كيسمع لينا، وحتى الحذف دياله الفني.",false
"I was moved every time we did a rehearsal on this, from the bottom of my heart.
","كنتأثر من قلبي كل مرة كنديرو هاد التدريب على هادشي.",false
"She’s very cute and sings quite well, too, he said according to a transcript of the news conference.
","قال تبعا لواحد النص ديال المؤتمر الصحفي أنها زوينة بزاف وكتغني مزيان.",false
"They are cooler than the surrounding surface in the day and warmer at night.
","هوما باردين كتَر من السطح اللي داير بيهم فالنهار أو دافيين أكتر فْ الليل.",false
"This is not going to be goodbye. This is the closing of one chapter and the opening of a new one.
","هادا مغيكونش وداع هادا هو نهاية ديال هاد الفصل و البداية ديال فصل جديد",false
"We now have 4-month-old mice that are non-diabetic that used to be diabetic, he added.
","- زاد قال : حنا دابا عندنا فيران عندهم رْبَع (4) شهور لي كانو مراض بالسكّار و لكن دابا مبقاوش مراض بيه",false
"We will endeavour to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level, Hu said.
"," قال بلي غادي نحاولو نقصو من ثنائي أوكسيد الكربون لكل وحدة من الناتج الداخلي الإجمالي من هنا ل 2020 مقارنة مع المستوى ديال 2005.",false
". Scientists say this animal's plumage was chestnut-brown on top with a pale or carotenoid-colored underside.
",". تيقولو العلماء إن الريش ديال هاد الحيوان كان بني كستنائي من لفوق وشاحب أو كاروتينويدي فالجانب السفلي.",false
"108 plates of Chhappan Bhog (in Hinduism, 56 different edible items, like, sweets, fruits, nuts, dishes etc. which are offered to deity) were served to Baba Shyam.
","قدموا 108 طبسيل ديال شابان بوغ لبابا شيام (ف الهندوسية، كاين 56 نوع مختلف صالح للماكلة، بحال الحلوى والديسير والفاكية وماكلات وغيرها الي كيوجدوها للإله).",false
"34 per cent of those in the poll share this view, wanting Queen Elizabeth II to be Australia's last monarch.
","34 في المية من اللي شاركوا ف الاستطلاع عندهم نفس الرأي، وهو أنهم باغيين تكون الملكة إليزابيث الثانية آخر الملوك ديال أستراليا.",false
"A binary number can have only one of two values, i.e. 0 or 1, and these numbers are referred to as binary digits - or bits, to use computer jargon.
","الرقم الثنائي يقدر يكون فيه غير قيمة واحدة من جوج ديال القيم ، يعني 0 أو 1، وكتتسمى هاذ الأرقام بالأرقام الثنائية - أو البتات، على حسب اللغة ديال الكمبيوتر.",false
"A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people.
","واحد الطوموبيل مفخخة تفركعات فالكوميسارية ديال مدينة غازي عنتاب التركية البارح الصباح وماتوا فيها جوج ديال البوليس واتجرجوا أكثر من عشرين واحد آخرين.",false
"A civilization is a singular culture shared by a significant large group of people who live and work co-operatively, a society.
","الحضارة هي واحد الثقافة فردية مشتركة ما بين مجموعة كبيرة ديال الناس اللي كيعيشوا وكيخدموا مع بعضياتهم، في مجتمع.",false
"A couple may decide it is not in their best interest, or in the interest of their child, to raise a baby.
","يمكن للراجل ومراتو يقرروا باللي راه ماشي من مصلحتهم أو من المصلحة ديال ولدهم يربيو طفل.",false
"A course will normally be from 2-5 days and will involve role play, a lot of first aid and sometimes weapons training.
","عادة ما كتكون الدورة من 2-5 أيام وكيكون فيها لعب الأدوار وبزاف ديال الإسعافات الأولية وبعض المرات التدريب على الأسلحة.",false
"A course will normally cover all the issues discussed here in far greater detail, usually with practical experience.
","عادةً ما كتغطي الدورة التدريبية كاع القضايا اللي تناقشت هنا بتفصيل أكبر بزاف، وعادةً ما كيكون هاذشي من خلال الخبرة العملية.",false
"A curry can be either dry or wet depending on the amount of liquid.
","يقدر يكون الكاري إما جاف أو رطب على حسب كمية السائل.",false
"A curry is a dish based on herbs and spices, together with either meat or vegetables.
","الكاري هو طبق كيعتمد على الأعشاب والعطرية مع اللحم أو الخضر.",false
"A doctor who worked at Children's Hospital of Pittsburgh, Pennsylvania will be charged with aggravated murder after her mother was found dead in the trunk of her car Wednesday, authorities in Ohio say.
","وعلى حسب السلطات ف أوهايو واحد الطبيبةً اللي كتن خدمات ف سبيطار الدراري الصغار ف بيتسبرغ ف ولاية بنسلفانيا، غادي يتهموها بجريمةِ القتل المتعمد من بعد ما لقاو أمها ميتة ف لكوفر نتا الطوموبيل ديالها نهار الأربع.",false
"A former Filipino policeman has kept Hong Kong tourists hostage by hijacking their bus in Manila, the capital of the Philippines.
","واحد اليوليسي فلبيني قديم احتجز سياح من هونج كونج رهائن منين خطف الكار ديالهم في مانيلا، عاصمة الفلبين.",false
"A full 20 percent of the water that pours out of the planet's rivers into the oceans comes from the Amazon.
","20 في المائة من المياه اللي كتصب من أنهار الكوكب في المحيطات جاية من الأمازون.",false
"A moderate earthquake shook western Montana at 10:08 p.m. on Monday.
","واحد الزلزال متوسط القوة ضرب مونتانا الغربية مع 10:08 دالليل، نهار الاثنين.",false
"A person working in a garage near where the accident occurred said: There were children waiting to cross the road and they were all screaming and crying.
","وقال واحد السيد كيخدم في كراج قريب من البلاصة اللي وقعات فيها الحادثة: كان كاين تما واحد الدراري كيتسناو يقطعوا الطريق وكلهم كانوا كيغوتوا ويبكيوا.",false
